"var","rel.inf"
"X9p21.3","X9p21.3",4.89904545738993
"X11p15.4","X11p15.4",4.74735633855449
"X10q11.23","X10q11.23",4.00280957138317
"X8q24.21","X8q24.21",3.78236915528165
"X8q22.2","X8q22.2",2.81756255836388
"X5p12","X5p12",2.78322748800711
"X7q11.21","X7q11.21",2.71753493926231
"X7p11.2","X7p11.2",2.70558684736471
"X8q24.12","X8q24.12",2.69020948119965
"X18q11.2","X18q11.2",2.49996100578388
"X12p13.33","X12p13.33",2.20344182805774
"X1p36.31","X1p36.31",2.11706439819431
"X21q11.1","X21q11.1",1.93484460540501
"X14q32.2","X14q32.2",1.8210194469443
"X7q31.1","X7q31.1",1.7924747984143
"X4q21.21","X4q21.21",1.75103785433566
"X5q11.2","X5q11.2",1.64107572672522
"X2p13.2","X2p13.2",1.62428234464238
"X19q13.41","X19q13.41",1.60554633244283
"X6q22.33","X6q22.33",1.57740018516656
"X5p15.31","X5p15.31",1.56456290985673
"X6p22.3","X6p22.3",1.44826799294837
"X4p16.1","X4p16.1",1.4333087342862
"X5p14.2","X5p14.2",1.3934831784174
"X14q32.33","X14q32.33",1.37691626611706
"X6p22.1","X6p22.1",1.3192453927344
"X18q23","X18q23",1.28460364689884
"X1q31.1","X1q31.1",1.27055191889019
"X5q31.2","X5q31.2",1.26298450413656
"X7q33","X7q33",1.20741845730766
"X8q24.3","X8q24.3",1.18582644847923
"X10q11.21","X10q11.21",1.1243772838382
"X15q13.3","X15q13.3",1.10455058821937
"X9q33.2","X9q33.2",1.1031386604027
"X9q21.13","X9q21.13",1.07151395345753
"X6q23.3","X6q23.3",1.06332704811732
"X2q31.1","X2q31.1",1.04545640157454
"X10p11.1","X10p11.1",1.04100389273896
"X6q27","X6q27",1.03595330096154
"X7p22.2","X7p22.2",1.01869299409252
"X8p22","X8p22",0.995323798140259
"X5q14.3","X5q14.3",0.988178033544958
"X13q12.11","X13q12.11",0.919551466371445
"X18q21.1","X18q21.1",0.912502442258552
"X8q24.13","X8q24.13",0.889695074732733
"X20q11.21","X20q11.21",0.862060753790974
"X7p15.3","X7p15.3",0.840419173218923
"X13q34","X13q34",0.83045125357904
"X4p14","X4p14",0.829920856630151
"X1p31.3","X1p31.3",0.811774641689923
"X14q23.2","X14q23.2",0.756572027803758
"X8q23.2","X8q23.2",0.739066766466357
"X18p11.22","X18p11.22",0.720051856641887
"X1p34.1","X1p34.1",0.71010452194113
"X12q13.11","X12q13.11",0.682620134575584
"X1q41","X1q41",0.638093691881839
"X1p36.32","X1p36.32",0.633819990514675
"X15q22.31","X15q22.31",0.632721500498096
"X4p15.32","X4p15.32",0.627135374626089
"X2p25.3","X2p25.3",0.614062940248513
"X5p14.1","X5p14.1",0.604826882348796
"X9q22.32","X9q22.32",0.599528015917545
"X1p21.2","X1p21.2",0.593986025841053
"X5p13.3","X5p13.3",0.588771953437216
"X9p21.1","X9p21.1",0.556855727107853
"X17q23.3","X17q23.3",0.543747446648866
"X22q13.1","X22q13.1",0.53956379567661
"X1p33","X1p33",0.529722547933514
"X10p15.1","X10p15.1",0.490779178345634
"X8q23.3","X8q23.3",0.486520640153937
"X7q36.3","X7q36.3",0.465003072796754
"X11q22.1","X11q22.1",0.464248558981123
"X2q11.2","X2q11.2",0.41344321423665
"X3q25.31","X3q25.31",0.365300874509363
"X9q34.11","X9q34.11",0.364068527272138
"X20q13.13","X20q13.13",0.347266192435852
"X8q11.23","X8q11.23",0.343207110807799
